Field 1,DOI,Paper title,Abstract,PDF Link,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
320,,,,,"Nature,PNAS",https://www.pnas.org/content/105/18/6590,Chemically modify or Change energy state,Chemically assemble,Self-assemble,"Chemically assemble on demand,Modify material characteristics,Store chemical entities","https://www.sciencedaily.com/releases/2010/05/100512131511.htm
https://www.scientificamerican.com/article/researchers-build-micro-s/"
321,,,,,Nature,https://www.nature.com/articles/nature08729,Process resources,Capture resources,Capture liquids,"""Capture, absorb, or filter liquids""",
322,,,,,Nature,https://www.nature.com/articles/nature08698,Protect from harm,Protect from living threats,Protect from microbes,Maintain homeostasis,https://www.sciencedaily.com/releases/2010/01/100120131153.htm
323,,,,,Nature,https://www.nature.com/articles/nature06101,"""Sense, send, or process information""",Sense signals/environmental cues,Sense chemicals,"""Sense chemicals (odor, taste, etc.) from the environment""",
324,,,,,Nature,https://www.nature.com/articles/nature06062,Process resources,Capture resources,Capture solids,"""Capture, absorb, or filter organisms""",
325,,,,,"Nature,Journal of Experimental Biology (JEB)",https://www.nature.com/articles/nature05733,Move,Passive movement,Passively move through gases,Move in/through gases,
326,,,,,"Nature,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/211/5/717,Move,Passive movement,Passively move through gases,Move in/through gases,
327,,,,,Nature,https://www.nature.com/articles/nature05678,Process resources,Distribute resources,Distribute energy,Distribute energy,
328,,,,,Nature,https://www.nature.com/articles/nature05466,"""Sense, send, or process information""",Sense signals/environmental cues,Sense chemicals,"""Sense chemicals (odor, taste, etc.) from the environment""",
329,,,,,Nature,https://www.nature.com/articles/nature03661,"Physically assemble/disassemble,""Sense, send, or process information""","Optimize shape/materials,Process signals","Respond to signals,Convert signals","Adapt genotype,Optimize shape/materials,Respond to signals,Transduce/convert signals",https://www.asmscience.org/content/journal/microbe/10.1128/microbe.4.506.1
330,,,,,"Nature,Proceedings of the Royal Society B,Journal of the Royal Society Interface",https://www.nature.com/articles/nature03647,Move,Active movement,Actively move through gases,"Modify buoyancy,Modify position,Modify speed,Move in/through gases",https://www.nature.com/news/hummingbird-flight-has-a-clever-twist-1.9639#b2
331,,,,,"Nature,Proceedings of the Royal Society B,Journal of the Royal Society Interface",https://royalsocietypublishing.org/doi/full/10.1098/rspb.2011.2238,Move,Active movement,Actively move through gases,"Modify buoyancy,Modify position,Modify speed,Move in/through gases",https://www.nature.com/news/hummingbird-flight-has-a-clever-twist-1.9639#b2
332,,,,,"Nature,Proceedings of the Royal Society B,Journal of the Royal Society Interface",https://royalsocietypublishing.org/doi/full/10.1098/rsif.2014.0541,Move,Active movement,Actively move through gases,"Modify buoyancy,Modify position,Modify speed,Move in/through gases",https://www.nature.com/news/hummingbird-flight-has-a-clever-twist-1.9639#b2
333,,,,,"Nature,Current Biology",https://www.nature.com/articles/nature03185,"""Sense, send, or process information""",Sense signals/environmental cues,Sense touch and mechanical forces,"Sense touch and mechanical forces in a living system,""Capture, absorb, or filter organisms""",
334,,,,,"Nature,Current Biology",https://www.sciencedirect.com/science/article/pii/S0960982215015018,"""Sense, send, or process information""",Sense signals/environmental cues,Sense touch and mechanical forces,"Sense touch and mechanical forces in a living system,""Capture, absorb, or filter organisms""",
335,,,,,Nature,https://www.nature.com/articles/nature03185,"Change size or color,Chemically modify or Change energy state","Change size/shape,Change energy state",Modify/convert mechanical energy,"Modify size/shape/mass/volume,Transform mechanical energy,""Capture, absorb, or filter organisms""",https://www.scientificamerican.com/article/secret-of-the-venus-fly-t/
336,,,,,Nature,https://www.nature.com/articles/nature02435,Move,Active movement,Actively move through/on liquids,"Modify speed,Move in/on liquids",
338,,,,,Nature,https://www.nature.com/articles/nature01416,Maintain structural integrity,Manage structural forces,"Manage stress/strain,Manage impact","Manage compression,Manage impact,Manage tension",
339,,,,,"The ISME Journal,Science",https://www.nature.com/articles/ismej200775,Chemically modify or Change energy state,Chemically assemble,Chemically assemble organic compounds,"""Capture, absorb, or filter chemical entities""",
340,,,,,"The ISME Journal,Science",https://science.sciencemag.org/content/313/5784/233,Chemically modify or Change energy state,Chemically assemble,Chemically assemble organic compounds,"""Capture, absorb, or filter chemical entities""",
341,,,,,The ISME Journal,https://www.nature.com/articles/ismej20074,Chemically modify or Change energy state,Change energy state,Modify/convert electrical energy,Transform electrical energy,
342,,,,,Nature,https://www.nature.com/articles/35099670,"Move,Maintain ecological community",Passive movement,"Coordinate by self-organization,Passively move through gases","Modify buoyancy,Move in/through gases",
343,,,,,"Nature,Journal of Materials Chemistry",https://www.nature.com/articles/35090573,"""Sense, send, or process information""",Sense signals/environmental cues,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
344,,,,,"Nature,Journal of Materials Chemistry",https://pubs.rsc.org/en/content/articlelanding/2004/JM/b402558j#!divAbstract,"""Sense, send, or process information""",Sense signals/environmental cues,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
345,,,,,"Design and Nature II: Comparing Design in Nature with Science and Engineering,Nature",https://www.nature.com/articles/35082144,"""Sense, send, or process information""",Sense signals/environmental cues,Sense sound/vibrations,Sense sound and other vibrations from the environment,
346,,,,,Nature,https://www.nature.com/articles/35070695,"""Sense, send, or process information""",Sense signals/environmental cues,Sense sound/vibrations,Sense sound and other vibrations from the environment,https://news.cornell.edu/stories/2001/04/super-fly-lends-ear-bio-inspired-hearing-aids-and-robotic-listening-devices-cornell
347,,,,,Nature,https://pubmed.ncbi.nlm.nih.gov/11287954/,"""Sense, send, or process information""",Sense signals/environmental cues,Sense sound/vibrations,Sense sound and other vibrations from the environment,https://news.cornell.edu/stories/2001/04/super-fly-lends-ear-bio-inspired-hearing-aids-and-robotic-listening-devices-cornell
348,,,,,Nature,https://www.nature.com/articles/35018159,"Protect from harm,Chemically modify or Change energy state","Protect from non-living threats,Chemically break down","Protect from chemicals,Chemically break down organic compounds","Catalyze chemical breakdown,Protect from chemicals",
349,,,,,Nature,https://www.nature.com/articles/4401005a,Maintain structural integrity,Manage structural forces,Manage stress/strain,"Manage compression,Manage tension",
350,,,,,Nature,https://www.nature.com/articles/4401005a,Maintain structural integrity,Manage structural forces,Manage stress/strain,"Manage compression,Manage tension",https://www.newscientist.com/article/mg17924041-900-soft-shelled-crabs-get-all-pumped-up/
351,,,,,Nature,https://www.nature.com/articles/438442a,Maintain ecological community,Individual benefit,"Coordinate by self-organization,Send chemical signals","Coordinate by self-organization,""Send chemical signals (odor, taste, etc.)""",
352,,,,,Nature,https://www.nature.com/articles/435164a,"Process resources,Move","Expel resources,Active movement","Expel solids,Actively move through gases","Expel solids,Modify speed,Move in/through gases,Pollinate",
353,,,,,Nature,https://www.nature.com/articles/423923a,Process resources,Distribute resources,Distribute liquids,Distribute liquids,
354,,,,,Nature,https://www.nature.com/articles/423021a,"""Sense, send, or process information"",Physically assemble/disassemble","Send signals,Process signals,Optimize shape/materials","Send electrical/magnetic signals,Respond to signals","""Modify concentration (of ions, solutes, etc)""",
355,,,,,Nature,https://www.nature.com/articles/421495a,"""Sense, send, or process information""",Sense signals/environmental cues,Sense temperature cues,Sense temperature cues from the environment,
356,,,,,Nature,https://airtable.com/tblEY0y2cQYzXu2J5/viwORV9j9tIcpzcop,"""Sense, send, or process information""",Sense signals/environmental cues,Sense temperature cues,Sense temperature cues from the environment,
357,,,,,"Nature,Design and Nature II: Comparing Design in Nature with Science and Engineering",https://www.nature.com/articles/420475a,"""Sense, send, or process information""",Send signals,Send sound signals,Send sound signals,
358,,,,,"Nature,The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of the American Chemical Society",https://www.nature.com/articles/325146a0,Protect from harm,Protect from non-living threats,"Protect from ice,Protect from temperature","Protect from ice,Protect from temperature",https://www.eurekalert.org/pub_releases/2010-08/rb-wfd082510.php
359,,,,,"Nature,The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of the American Chemical Society",https://pubs.acs.org/doi/10.1021/ja1051632,Protect from harm,Protect from non-living threats,"Protect from ice,Protect from temperature","Protect from ice,Protect from temperature",https://www.eurekalert.org/pub_releases/2010-08/rb-wfd082510.php
360,,,,,"Nature,Science of the Total Environment",https://www.nature.com/articles/297062a0,"Chemically modify or Change energy state,Protect from harm","Chemically break down,Protect from non-living threats","Chemically break down organic compounds,Protect from chemicals","Chemically break down organic compounds,Protect from chemicals",
361,,,,,"Nature,Science of the Total Environment",https://www.sciencedirect.com/science/article/pii/S0048969707001878?via%3Dihub,"Chemically modify or Change energy state,Protect from harm","Chemically break down,Protect from non-living threats","Chemically break down organic compounds,Protect from chemicals","Chemically break down organic compounds,Protect from chemicals",
362,,,,,"Nature,Earth Surface Processes and Landforms",https://www.nature.com/articles/247074a0.pdf?proof=true,"Physically assemble/disassemble,Chemically modify or Change energy state,Process resources","Physically assemble structure,Chemically assemble,Store resources","Chemically assemble organic compounds,Store soilds","Store chemical entities,""Capture, absorb, or filter chemical entities""",
363,,,,,"Nature,Earth Surface Processes and Landforms",https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291096-9837%28199804%2923%3A4%3C291%3A%3AAID-ESP844%3E3.0.CO%3B2-A,"Physically assemble/disassemble,Chemically modify or Change energy state,Process resources","Physically assemble structure,Chemically assemble,Store resources","Chemically assemble organic compounds,Store soilds","Store chemical entities,""Capture, absorb, or filter chemical entities""",
