,index,DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
300,300,,,,"The grand design: Form and colour in animals,Current Biology,Experimental Brain Research,The Biology of Chameleons","https://www.cell.com/current-biology/fulltext/S0960-9822(99)80189-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982299801894%3Fshowall%3Dtrue
https://link.springer.com/article/10.1007%2Fs002210100774",,,"Sense light in the visible spectrum,Sense motion,""Capture, absorb, or filter organisms""","Modify position,Sense light (visible spectrum) from the environment,Sense motion,""Capture, absorb, or filter organisms""",
301,301,,,,Current Biology,https://www.cell.com/current-biology/fulltext/S0960-9822(19)30028-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982219300284%3Fshowall%3Dtrue,,,Sense sound/vibrations,Sense sound and other vibrations from the environment,https://news.cornell.edu/stories/2019/02/study-mosquitoes-can-hear-10-meters-away
302,302,,,,Current Biology,https://www.cell.com/current-biology/fulltext/S0960-9822(12)01450-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982212014509%3Fshowall%3Dtrue,,,Manage impact,"Adapt behaviors,Manage impact",
303,303,,,,Current Biology,https://www.cell.com/current-biology/fulltext/S0960-9822(12)01266-3?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982212012663%3Fshowall%3Dtrue,,,Move through/on liquids,Move in/on liquids,
304,304,,,,Current Biology,https://www.cell.com/current-biology/fulltext/S0960-9822(12)00471-X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS096098221200471X%3Fshowall%3Dtrue,,,Distribute solids,Distribute solids,
305,305,,,,"Current Biology,Reviews in Fish Biology and Fisheries,Copeia","https://www.cell.com/current-biology/fulltext/S0960-9822(12)00085-1
https://link.springer.com/article/10.1007%2Fs11160-009-9112-7
https://www.jstor.org/stable/1438539?seq=1",,,"Break down structure,Sense electricity/magnetism,""Capture, absorb, or filter organisms""","Break down living materials,Sense electricity/magnetism from the environment,""Capture, absorb, or filter organisms""",
306,306,,,,"Animal Architecture,Current Biology",https://www.cell.com/current-biology/fulltext/S0960-9822(11)00886-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982211008864%3Fshowall%3Dtrue,,,"Move through/on liquids,Physically assemble structure","Modify buoyancy,Move in/on liquids,Physically assemble structure",https://www.sciencemag.org/news/2011/10/snails-ship-out-scrambled-eggs
307,307,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Current Biology",https://www.cell.com/current-biology/fulltext/S0960-9822(08)01621-7?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982208016217%3Fshowall%3Dtrue,,,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,https://www.sciencedaily.com/releases/2009/01/090107134539.htm
308,308,,,,"Current Biology,Current Opinion in Cell Biology","https://www.cell.com/current-biology/fulltext/S0960-9822(07)01639-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982207016399%3Fshowall%3Dtrue
https://www.cell.com/current-biology/fulltext/S0960-9822(07)01689-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982207016892%3Fshowall%3Dtrue
https://www.sciencedirect.com/science/article/abs/pii/S0955067412001457?via%3Dihub
https://www.sciencedirect.com/science/article/abs/pii/S0955067407001925?via%3Dihub
",,,"Change size/shape,Move through/on liquids,Move through/on solids,Physically assemble structure,Regulate reproduction or growth","Modify position,Modify size/shape/mass/volume,Move in/on liquids,Move in/on solids,Physically assemble structure,Regulate cellular processes,Regulate reproduction or growth",
309,309,,,,Cell,https://www.cell.com/cell/fulltext/S0092-8674(19)30047-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867419300479%3Fshowall%3Dtrue,,,"Physically assemble structure,Change size/shape","Physically assemble structure,Modify material characteristics,Modify size/shape/mass/volume",https://penntoday.upenn.edu/news/physical-model-forming-patterns-pollen
310,310,,,,"Cell,Nature","https://www.cell.com/cell/fulltext/S0092-8674(09)01033-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867409010332%3Fshowall%3Dtrue
https://www.nature.com/articles/nature04588",,,Manage environmental disturbances,"Adapt genotype,Manage disturbance in a community",https://www.sciencedaily.com/releases/2009/11/091102112102.htm
311,311,,,,"Cell,""Principles of Virology: Molecular Biology, Pathogenesis, and Control of Animal Viruses, 2nd Edition""",https://www.cell.com/cell/fulltext/S0092-8674(06)00187-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867406001875%3Fshowall%3Dtrue,,,Attach temporarily,Attach temporarily,
312,312,,,,Biophysical Journal,https://www.cell.com/biophysj/fulltext/S0006-3495(09)02408-4,,,"""Capture, absorb, or filter organisms""","Regulate cellular processes,""Capture, absorb, or filter organisms""",https://www.sciencedaily.com/releases/2010/02/100216163341.htm
313,313,,,,"Seed Science Research,Science","https://www.cambridge.org/core/journals/seed-science-research/article/sacred-lotus-the-longliving-fruits-of-china-antique/950DD5CB3E32BA6D99A79CAB5D75B038
https://science.sciencemag.org/content/291/5510/1884",,,"Manage wear,Protect from excess liquids,Protect from fungi,Protect from gases,Protect from light,Protect from temperature","Manage mechanical wear,Protect from excess liquids,Protect from fungi,Protect from gases,Protect from light,Protect from temperature",
314,314,,,,Quarterly Review of Biophysics,https://www.cambridge.org/core/journals/quarterly-reviews-of-biophysics/article/chaperoninmediated-protein-folding-fate-of-substrate-polypeptide/19AB3F18F349DA2D1E94A99F23CCA18D,,,Change size/shape,"Modify size/shape/mass/volume,Regulate cellular processes",
315,315,,,,"The Biology of Freshwater Wetlands (Biology of Habitats),Journal of Tropical Ecology",https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/moundbuilding-termite-macrotermes-michaelseni-as-an-ecosystem-engineer/D44E0079BFF2661218B93083F070B562,,,"Control erosion,Maintain biodiversity,Manage environmental disturbances","Control erosion and sediment,Cycle nutrients,Maintain biodiversity,Manage disturbance in a community",
316,316,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,""Form, Structure, and Function of Shell and Siphuncle in Coiled Mesozoic Ammonoids"",Journal of the Marine Biological Association of the United Kingdom",https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/on-the-buoyancy-of-the-pearly-nautilus/A99EBD0AE3B8478F7437C6FE5BD398AE,,,"Move through/on liquids,Move through gases","Modify buoyancy,Move in/on liquids,Move in/through gases",
317,317,,,,Journal of Marine Biological Association of the United Kingdom,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/bioluminescence-in-the-benthopelagic-holothurian-enypniastes-eximia/2F72BF0FE0787ADD9636CEAEC2D4D3AF,,,"Protect from animals,Send light signals in the visible spectrum,Sense touch and mechanical forces,Modify/convert light energy","Protect from animals,Send light signals in the visible spectrum,Sense touch and mechanical forces in a living system,Transform radiant energy (light)",https://www.scientificamerican.com/slideshow/bioluminescent-avatar/
318,318,,,,Journal of Materials Research,https://www.cambridge.org/core/journals/journal-of-materials-research/article/platelet-interlocks-are-the-key-to-toughness-and-strength-in-nacre/74323E967B18BF539E91008B98C5A5DC,,,"Manage stress/strain,Manage impact,Physically assemble structure","Manage compression,Manage impact,Manage tension,Physically assemble structure",
319,319,,,,"International Journal of Astrobiology,Journal of Experimental Biology (JEB)","https://www.cambridge.org/core/journals/international-journal-of-astrobiology/article/adaptations-to-environmental-extremes-by-multicellular-organisms/788142428590F0D32F24F139CA20B9B4
https://jeb.biologists.org/content/55/2/385.article-info",,,"Protect from light,Protect from loss of liquids,Protect from temperature","Protect from light,Protect from loss of liquids,Protect from temperature",
320,320,,,,"Beilstein Journal of Nanotechnology,Journal of Biomechanics,Journal of Comparative Physiology A,PNAS,Scientific Reports","https://www.beilstein-journals.org/bjnano/articles/5/8
https://www.sciencedirect.com/science/article/abs/pii/S0021929099000135?via%3Dihub
https://link.springer.com/article/10.1007%2Fs00359-008-0408-1
https://www.pnas.org/content/106/25/10081
https://www.nature.com/articles/srep23539
",,,Move through/on solids,Move in/on solids,
321,321,,,,"Apidologie,""The Bees of the World, Second Edition""",https://www.apidologie.org/articles/apido/abs/1992/05/Apidologie_0044-8435_1992_23_5_ART0005/Apidologie_0044-8435_1992_23_5_ART0005.html,,,Attach temporarily,Attach temporarily,
322,322,,,,Annual Review of Microbiology,https://www.annualreviews.org/doi/abs/10.1146/annurev.micro.60.080805.142053?journalCode=micro,,,,Modify oxidation state,
323,323,,,,"Annual Review of Microbiology,Micron","https://www.annualreviews.org/doi/abs/10.1146/annurev.micro.55.1.625?journalCode=micro
https://pubmed.ncbi.nlm.nih.gov/17875392/",,,,"Chemically assemble polymers,Modify surface tension,""Modify solubility (dissolving, emulsifying, precipitating, crystallizing)""",
324,324,,,,"Annual Review of Microbiology,Journal of the Royal Society Interface","https://www.annualreviews.org/doi/abs/10.1146/annurev.micro.51.1.527
https://royalsocietypublishing.org/doi/full/10.1098/rsif.2009.0203",,,Coordinate activities,Coordinate activities,
325,325,,,,"Annual Review of Immunology,Journal of Cell Science","https://www.annualreviews.org/doi/10.1146/annurev.immunol.17.1.593
https://jcs.biologists.org/content/114/6/1061.short",,,"""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids"",""Capture, absorb, or filter chemical entities""","""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids"",""Capture, absorb, or filter chemical entities""",
326,326,,,,Annual Review of Entomology,https://www.annualreviews.org/doi/10.1146/annurev.ento.42.1.587,,,Regulate reproduction or growth,Regulate reproduction or growth,
327,327,,,,"Annual Review of Entomology,Dragonflies: Q&A Guide: Fascinating Facts About Their Life in the Wild",https://www.annualreviews.org/doi/10.1146/annurev.en.37.010192.000553,,,"Distribute liquids,Modify/convert mechanical energy","Distribute liquids,Transform mechanical energy",
328,328,,,,Annual Review of Biophysics,https://www.annualreviews.org/doi/10.1146/annurev.biophys.37.032807.125804,,,"Attach temporarily,Manage shear","Attach temporarily,Manage shear,Manage tension",
329,329,,,,"Annual Review of Biochemistry,Science,Molecular Membrane Biology,Quarterly Review of Biophysics","https://www.annualreviews.org/doi/10.1146/annurev.biochem.68.1.425
https://science.sciencemag.org/content/296/5567/525
https://www.tandfonline.com/doi/full/10.1080/09687680701446965
https://www.cambridge.org/core/journals/quarterly-reviews-of-biophysics/article/structure-of-aquaporins/788561FC2192389FEA4651DCA72360B4",,,"Distribute liquids,""Capture, absorb, or filter chemical entities"",""Capture, absorb, or filter liquids""","Distribute liquids,""Capture, absorb, or filter chemical entities"",""Capture, absorb, or filter liquids""",
330,330,,,,"Annual Review of Entomology,Zoomorphology,The grand design: Form and colour in animals","https://www.annualreviews.org/doi/10.1146/annurev-ento-112408-085338
https://link.springer.com/article/10.1007%2FBF01632816",,,"Attach temporarily,Prevent deformation","Attach temporarily,Prevent deformation",
331,331,,,,"Annual Review of Biochemistry,PNAS","https://www.annualreviews.org/doi/10.1146/annurev-biochem-062608-103436
https://www.pnas.org/content/102/39/13855",,,"Chemically break down inorganic compounds,Protect from animals,Protect from chemicals","Chemically break down inorganic compounds,Protect from animals,Protect from chemicals",
332,332,,,,Reviews in Environmental Science & Biotechnology,https://web.a.ebscohost.com/abstract?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15691705&asa=Y&AN=26368786&h=sL1ulPZP3aO%2f4YDENSfYt%2fIaBmLJHv4%2fJhUQ7%2fC1BIu5MrGTIMJwx9CYogqyl6tcH5atqKlRraSD4T5fdWSSwQ%3d%3d&crl=c&resultNs=AdminWebAuth&resultLocal=ErrCrlNotAuth&crlhashurl=login.aspx%3fdirect%3dtrue%26profile%3dehost%26scope%3dsite%26authtype%3dcrawler%26jrnl%3d15691705%26asa%3dY%26AN%3d26368786,,,Chemically break down organic compounds,Chemically break down organic compounds,
333,333,,,,"American Journal of Nanotechnology,Journal of Experimental Biology (JEB),Natural History","https://thescipub.com/abstract/10.3844/ajnsp.2011.112.121
https://pubmed.ncbi.nlm.nih.gov/945321/
http://connection.ebscohost.com/c/articles/9008131036/antifreeze-bees",,,Protect from temperature,"Maintain homeostasis,Protect from temperature",
334,334,,,,Science Signaling,https://stke.sciencemag.org/content/1/17/pe17,,,"Manage stress/strain,Manage impact,Manage shear,Prevent fracture/rupture","Manage compression,Manage impact,Manage shear,Manage tension,Prevent fracture/rupture",
335,335,,,,Environmental Microbiology,https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1462-2920.2009.01948.x,,,"Catalyze chemical breakdown,Chemically break down inorganic compounds,Chemically break down organic compounds","Attach a functional group,Catalyze chemical breakdown,Chemically break down inorganic compounds,Chemically break down organic compounds",
336,336,,,,Environmental Microbiology,https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1462-2920.2007.01301.x,,,Protect from temperature,Protect from temperature,
